$ i  j  right left  up    down  properties
size 5 5
# 1  1  0     0     0     1     
# 1  2  1     0     0     1     Dyr 
# 1  3  1     1     0     1     Std 
# 1  4  1     1     0     1     Dyd
# 1  5  0     1     0     0     Tr 
# 2  1  1     0     1     1     Tuu 
# 2  2  1     1     1     0     Sn 
# 2  3  1     1     1     1     Gn 
# 2  4  1     1     1     0     
# 2  5  0     1     0     1     Tuu 
# 3  1  1     0     1     1     
# 3  2  1     1     0     0     Dyr
# 3  3  1     1     1     0     
# 3  4  1     1     0     0     Dyl
# 3  5  0     1     1     1     
# 4  1  1     0     1     0     
# 4  2  1     1     0     0     Sn 
# 4  3  1     1     0     1     
# 4  4  1     1     0     0     Sn 
# 4  5  0     1     1     0     
# 5  3  0     0     1     0     Hi 
#
